Plot,Group,Type,Cluster,No. Translocated,Decrease in Abundance** - April 2023,Decrease in Abundance** - July 2023,Change April - July?,% Lost,Soil Moisture,,,,,Soil pH,,,,,Lux,Soil Compaction,,Soil Type,Rhod. Prox.,Woodland Community
,,,,,,,,,M1,M2,M3,M4,Mean,M1,M2,M3,M4,Mean,,Sample mass (g),Bulk density,,,
NW1,NW,Plant,1,49,0,49,None,100,30.3,59,55.5,38.4,45.8,6.99,6.26,5.77,6.16,6.3,1422,64,2.60798696,,50,
NW2,NW,Plant,1,77,33,59,Down,76.62337662,38.9,38.4,47.1,53.6,44.5,6.64,6.31,6.08,5.85,6.22,689,30,1.222493888,,0,
NW3,NW,Plant,2,90,3,25,Down,27.77777778,30.9,59.4,56.3,48.9,48.9,6.61,5.78,5.71,6.1,6.05,1954,33,1.344743276,,50,
NW4,NW,Plant,2,110,0,60,Down,54.54545455,57.6,53,57.9,60.4,57.2,5.93,5.91,5.82,6.06,5.93,474,52,2.118989405,,50,
NW6,NW,Plant,3,90,34,90,Down,100,28.3,46.4,30.1,45,37.5,6.22,6.12,6.62,6.12,6.27,3215,26,1.059494703,,50,
NW12,NW,Plant,4,150,60,96,Down,64,84,78.7,69.4,81.3,78.4,5.21,5.91,5.72,5.4,5.56,2453,61,2.485737571,,22,
NW14,NW,Plant,5,120,0,108,Down,90,67.1,44.1,71.9,44.6,56.9,5.57,6.06,5.62,6.39,5.91,842,53,2.159739201,,2,
W1,W,Plant,6,70,14,61,Down,87.14285714,56.4,59.2,60.4,48.9,56.2,6.09,6.17,5.44,6.09,5.95,745,32,1.30399348,,50,
W2,W,Plant,6,60,2,2,Down,3.333333333,56.1,43,66.9,56.4,55.6,6.09,6.01,5.53,5.97,5.9,1175,65,2.648736756,,50,
W3,W,Plant,6,65,8,41,Down,63.07692308,56.6,69.7,39.4,57.6,55.8,5.81,5.55,6.11,5.78,5.81,1196,34,1.385493073,,50,
W4,W,Plant,6,150,84,149,Down,99.33333333,61.3,65.1,48.4,62.6,59.4,5.49,5.5,5.89,5.61,5.62,1649,50,2.037489813,,50,
D1,D,Plant,7,220,112,197,Down,89.54545455,64,63.7,64.4,62.3,63.6,5.65,5.23,5.25,5.62,5.44,1911,37,1.507742461,,50,
D4,D,Plant,7,250,115,143,Down,57.2,55,50.4,56.4,61,55.7,6.01,6.59,6.01,6.32,6.23,456,29,1.181744091,,50,
D5,D,Plant,7,300,57,161,Down,53.66666667,28.6,62.5,45.6,44.1,45.2,6.86,5.86,6.03,6.18,6.23,251,37,1.507742461,,50,
D6,D,Plant,8,70,26,57,Down,81.42857143,52.7,39.4,52,51.9,49,6.1,6.51,6.29,6.32,6.31,830,30,1.222493888,,50,
D7,D,Plant,9,530,460,255,Up,48.11320755,36.9,71.3,68.5,71.6,62.1,6.43,5.94,6.41,6.01,6.2,698,32,1.30399348,,1,
D8,D,Plant,9,147,46,84,Down,57.14285714,55.8,65.3,49.6,44.1,53.7,5.86,5.78,6.09,5.92,5.91,2230,29,1.181744091,,1,
D9,D,Plant,9,223,114,223,Down,100,53.9,51.3,48.9,43.4,49.4,6.37,5.93,6.08,6.27,6.16,1199,23,0.937245314,,0,
